,mu,mu_star,sigma,mu_star_conf
Capital_BIO,0.0,0.0,0.0,0.0
Capital_CCG,45.95271688949979,45.95271688949979,20.794075100012787,11.13293894813582
Capital_COA,12.784463006999886,12.784463006999886,24.70948913951973,13.04564186530854
Capital_HYD,68.26004478450004,68.26004478450004,73.63917427218705,46.49264168057312
Capital_OCG,0.0,0.0,0.0,0.0
Capital_OIL,0.0,0.0,0.0,0.0
Capital_SPV,11.585198257500087,11.585198257500087,6.107919029352781,3.367664643689099
Capital_URN,31.86613846649998,31.86613846649998,39.273127044914695,21.978374955448587
Capital_WON,0.0,0.0,0.0,0.0
Fixed_BIO,0.0,0.0,0.0,0.0
Fixed_CCG,234.48485719800001,234.48485719800001,36.15077498341934,21.854758082983615
Fixed_COA,7.4405423325000815,7.4405423325000815,13.24319866511519,7.2799592749868065
Fixed_HYD,127.53791755649982,127.53791755649982,109.74982999532176,61.9396407113748
Fixed_OCG,0.0,0.0,0.0,0.0
Fixed_OIL,0.0,0.0,0.0,0.0
Fixed_SPV,6.419415342000138,6.419415342000138,6.722865314866875,3.729677836080728
Fixed_URN,15.477420715500012,15.477420715500012,27.12955840521819,17.50474675191865
Fixed_WON,0.0,0.0,0.0,0.0
Variable_COA,,26.33165212650001,,16.38049767982013
Variable_GAS,,1035.0669555495,,144.4382779894122
Variable_OIL,,0.0,,0.0
Variable_URN,,12.923865790499804,,12.398967791569998
Efficiency_BIO,0.0,0.0,0.0,0.0
Efficiency_CCG,,389.45738685900034,,94.60455531223789
Efficiency_COA,,3.9467043405000366,,5.134583234129565
Efficiency_OCG,,0.0,,0.0
Efficiency_OIL,,0.0,,0.0
Efficiency_URN,,11.73877296449955,,10.57908275997914
OpLife_BIO,0.0,0.0,0.0,0.0
OpLife_CCG,-136.26530689350042,136.26530689350042,52.076668802495234,30.461324094356932
OpLife_COA,-10.144261260000258,10.144261260000258,23.462609740138163,14.010979825442483
OpLife_HYD,-8.632603163999738,8.632603163999738,8.685281035126684,5.187328083789427
OpLife_OCG,0.0,0.0,0.0,0.0
OpLife_OIL,0.0,0.0,0.0,0.0
OpLife_SPV,-9.724348518000216,9.724348518000216,8.97542210872367,4.726986394778149
OpLife_URN,-8.62604189249987,8.62604189249987,11.268347264844799,6.828331593814656
OpLife_WON,0.0,0.0,0.0,0.0
Demand,1811.7917963759999,1811.7917963759999,127.43852475679019,68.8848198904911
CarbonTax,619.0901564415004,619.0901564415004,140.25701855228857,80.25720766077843
MaxCoalCapacity,-2.136740509500214,2.136740509500214,6.756966778769327,3.7039485850130265
