,mu,mu_star,sigma,mu_star_conf
Capital_BIO,0.0,0.0,0.0,0.0
Capital_CCG,45.95273159999988,45.95273159999988,20.794069840537492,11.766168291794886
Capital_COA,12.784460399999897,12.784460399999897,24.709491898341593,15.510268935850833
Capital_HYD,68.26004715000053,68.26004715000053,73.6391800712787,45.01850183365114
Capital_OCG,0.0,0.0,0.0,0.0
Capital_OIL,0.0,0.0,0.0,0.0
Capital_SPV,11.585222549999799,11.585222549999799,6.107929556740579,3.1899050326222302
Capital_URN,31.866149250000127,31.866149250000127,39.27314691601725,24.29063470588788
Capital_WON,0.0,0.0,0.0,0.0
Fixed_BIO,0.0,0.0,0.0,0.0
Fixed_CCG,234.4848496499996,234.4848496499996,36.150782565194675,23.01906774266962
Fixed_COA,7.440547500000139,7.440547500000139,13.243199635611688,7.362858188739508
Fixed_HYD,417.6384208499993,417.6384208499993,109.74983600115769,68.16794202104629
Fixed_OCG,0.0,0.0,0.0,0.0
Fixed_OIL,0.0,0.0,0.0,0.0
Fixed_SPV,9.654464699999972,9.654464699999972,6.72288573479048,3.9421822395154904
Fixed_URN,15.477427050000006,15.477427050000006,27.129561307087894,15.508746529624288
Fixed_WON,0.0,0.0,0.0,0.0
Variable_COA,,26.331651000000058,,18.61278939592798
Variable_GAS,,1035.0669564,,160.22349671239914
Variable_OIL,,0.0,,0.0
Variable_URN,,12.923866650000672,,12.044888628529662
Efficiency_BIO,0.0,0.0,0.0,0.0
Efficiency_CCG,,389.4573913500003,,91.6346124304982
Efficiency_COA,,3.9467089500002657,,4.681448214423465
Efficiency_OCG,,0.0,,0.0
Efficiency_OIL,,0.0,,0.0
Efficiency_URN,,11.738778149999963,,12.453575394620028
OpLife_BIO,0.0,0.0,0.0,0.0
OpLife_CCG,-136.2653043000003,136.2653043000003,52.076648190327354,26.870742592101614
OpLife_COA,-10.14426614999984,10.14426614999984,23.462605681144115,13.451229671863265
OpLife_HYD,-8.632600350000029,8.632600350000029,8.685261593464507,5.302188512645186
OpLife_OCG,0.0,0.0,0.0,0.0
OpLife_OIL,0.0,0.0,0.0,0.0
OpLife_SPV,-9.724352700000054,9.724352700000054,8.97542910341836,5.435662849553899
OpLife_URN,-8.626044900000124,8.626044900000124,11.268350930021615,7.399518881876482
OpLife_WON,0.0,0.0,0.0,0.0
Demand,1811.7918228000005,1811.7918228000005,127.43853846576812,69.98605325365988
CarbonTax,619.0901469000006,619.0901469000006,140.2570020757816,82.99220117117483
MaxCoalCapacity,-2.1367466999998213,2.1367466999998213,6.756986354847942,4.066904339171819
